26.77, 6.69, 6.62, 15.20
26.12, 6.85, 6.80, 58.87
25.73, 6.90, 6.84, 233.99
25.53, 7.14, 7.10, 901.21
25.42, 7.13, 7.11, 3599.12
25.37, 13.69, 9.28, 12089.73
25.34, 13.69, 12.89, 32931.59
25.33, 13.27, 12.41, 136234.50
26.77, 12.14, 11.71, 10.38
26.12, 13.20, 12.71, 32.90
25.73, 13.71, 10.77, 153.28
25.53, 14.25, 13.69, 469.20
25.42, 14.26, 13.74, 1884.28
25.37, 14.26, 13.92, 7389.82
25.34, 27.31, 21.92, 20448.96
25.33, 26.06, 23.82, 71530.82
26.77, 29.61, 26.21, 5.03
26.12, 24.51, 23.48, 18.50
25.73, 26.84, 26.18, 62.48
25.53, 28.34, 26.14, 251.37
25.42, 28.52, 28.15, 909.95
25.37, 28.48, 27.82, 3681.06
25.34, 52.34, 42.02, 10670.42
25.33, 50.68, 46.70, 36847.66
1.83, 0.90
3.55, 0.96
